Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR2032","Keystone_3034_CR2032",155.702000,-96.012000,-135.000000,top
"C1","2u2","C_0805",237.910000,-128.270000,180.000000,top
"C2","2u2","C_0805",227.965000,-124.460000,0.000000,top
"C3","2u2","C_0805",233.680000,-98.210000,90.000000,top
"C4","2u2","C_0805",220.560000,-83.820000,0.000000,top
"C5","2u2","C_0805",214.210000,-83.820000,0.000000,top
"C6","2u2","C_0805",199.810000,-83.820000,180.000000,top
"C7","2u2","C_0805",193.040000,-107.530000,-90.000000,top
"C8","2u2","C_0805",169.760000,-113.411000,0.000000,top
"C9","2u2","C_0805",161.505000,-111.760000,0.000000,top
"C10","DNP","CP_EIA-3528",241.935000,-125.095000,0.000000,top
"C11","DNP","CP_EIA-3528",192.405000,-88.265000,-90.000000,top
"C12","10u","C_0805",152.615000,-111.760000,0.000000,top
"C13","DNP","CP_EIA-3528",144.200823,-105.338823,135.000000,top
"C14","10u","C_0805",157.060000,-111.760000,0.000000,top
"C15","10u","C_0805",180.301000,-102.235000,0.000000,top
"C16","10u","C_0805",181.317000,-85.725000,0.000000,top
"C17","DNP","CP_EIA-3528",170.180000,-85.598000,180.000000,top
"C18","2u2","C_0805",175.553000,-129.159000,180.000000,top
"C19","2u2","C_0805",217.590000,-128.270000,0.000000,top
"C20","DNP","C_0805",217.590000,-126.238000,0.000000,top
"C21","2u2","C_0805",221.830000,-128.270000,180.000000,top
"C24","DNP","C_0805",221.830000,-126.238000,0.000000,top
"C25","DNP","C_0805",175.553000,-126.619000,180.000000,top
"C26","2u2","C_0805",171.616000,-129.159000,0.000000,top
"FID1","Fiducial","Fiducial",244.602000,-82.423000,-90.000000,top
"FID2","Fiducial","Fiducial",142.113000,-96.139000,90.000000,top
"FID3","Fiducial","Fiducial",155.829000,-82.423000,90.000000,top
"FID4","Fiducial","Fiducial",244.602000,-129.540000,0.000000,top
"FID5","Fiducial","Fiducial",142.113000,-129.540000,0.000000,top
"J2","JTAG","IDC_SMD_2x05_P2.54mm_Vertical",241.300000,-109.220000,0.000000,top
"JP1","Mode","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",241.300000,-91.440000,0.000000,top
"JP2","Clock","PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left",168.275000,-107.950000,0.000000,top
"R1","15","R_0805",209.550000,-128.270000,-90.000000,top
"R2","DNP","R_0805",204.790000,-83.820000,0.000000,top
"R3","15","R_0805",212.090000,-128.270000,-90.000000,top
"R4","4k7","R_0805",163.195000,-107.635000,-90.000000,top
"R5","DNP","R_0805",236.220000,-89.220000,90.000000,top
"R6","4k7","R_0805",233.680000,-126.365000,-90.000000,top
"U1","EPM7128SL84","PLCC-84_SMDSocket",213.360000,-104.140000,180.000000,top
"U2","DS1315S-5","SOIC-16_7.5mm",155.956000,-118.745000,-90.000000,top
"U3","74AHCT04","SOIC-14_3.9mm",166.370000,-119.380000,-90.000000,top
"U4","AS6C8008","TSOP-II-44_400mil_P0.8mm",180.000000,-94.000000,0.000000,top
"U5","39F040","PLCC-32_SMDSocket",181.610000,-114.300000,-90.000000,top
"Y1","32k768","Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal",145.288000,-115.570000,0.000000,top
